CODE,NAME,TICKER
FR0000031577,VIRBAC,VIRP.PA
FR0000044448,NEXANS,NEX.PA
FR0000050809,SOPRA STERIA GROUP,SOP.PA
FR0000051807,TELEPERFORMANCE,TEP.PA
FR0000052292,HERMES INTL,RMS.PA
FR0000053225,METROPOLE TV,MMT.PA
FR0000054900,TF1,TFI.PA
FR0000060402,ALBIOMA,ABIO.PA
FR0000064578,COVIVIO,COV.PA
FR0000071946,ALTEN,ATE.PA
FR0000073272,SAFRAN,SAF.PA
FR0000073298,IPSOS,IPS.PA
FR0000077919,JC DECAUX SA.,DEC.PA
FR0000120073,AIR LIQUIDE,AI.PA
FR0000120172,CARREFOUR,CA.PA
FR0000120222,CNP ASSURANCES,CNP.PA
FR0000120271,TOTAL,FP.PA
FR0000120321,L'OREAL,OR.PA
FR0013506730,VALLOUREC,VK.PA
FR0000120404,ACCOR,AC.PA
FR0000120685,NATIXIS,KN.PA
FR0000120693,PERNOD RICARD,RI.PA
FR0000120859,IMERYS,NK.PA
FR0000121121,EURAZEO,RF.PA
FR0000121147,FAURECIA,EO.PA
FR0000121261,MICHELIN,ML.PA
FR0000121329,THALES,HO.PA
FR0000121485,KERING,KER.PA
FR0000121667,ESSILORLUXOTTICA,EL.PA
FR0000121709,SEB,SK.PA
FR0000121725,DASSAULT AVIATION,AM.PA
FR0000125346,INGENICO GROUP,ING.PA
FR0000127771,VIVENDI,VIV.PA
FR0000131906,RENAULT,RNO.PA
FR0000133308,ORANGE,ORA.PA
FR0000184798,ORPEA,ORP.PA
FR0004035913,ILIAD,ILD.PA
FR0005691656,TRIGANO,TRI.PA
FR0006174348,BUREAU VERITAS,BVI.PA
FR0010112524,NEXITY,NXI.PA
FR0010220475,ALSTOM,ALO.PA
FR0010259150,IPSEN,IPN.PA
FR0010313833,ARKEMA,AKE.PA
FR0010451203,REXEL,RXL.PA
FR0010533075,GETLINK SE,GET.PA
LU0088087324,SES,SESG.PA
FR0000035081,ICADE,ICAD.PA
FR0000045072,CREDIT AGRICOLE,ACA.PA
FR0000120503,BOUYGUES,EN.PA
FR0000120628,AXA,CS.PA
FR0000120644,DANONE,BN.PA
FR0000125486,VINCI,DG.PA
FR0000125585,CASINO GUICHARD,CO.PA
FR0000130213,LAGARDERE S.C.A.,MMB.PA
FR0000130452,EIFFAGE,FGR.PA
FR0000130577,PUBLICIS GROUPE SA,PUB.PA
FR0000130650,DASSAULT SYSTEMES,DSY.PA
FR0000131757,ERAMET,ERA.PA
FR0000038259,EUROFINS SCIENT.,ALECR.PA
FR0000039091,ROBERTET,CBE.PA
FR0000039299,BOLLORE,BOL.PA
FR0000051732,ATOS,ATO.PA
FR0000120966,BIC,BB.PA
FR0000121501,PEUGEOT,UG.PA
FR0000121964,KLEPIERRE,LI.PA
FR0000121972,SCHNEIDER ELECTRIC,SU.PA
FR0000124141,VEOLIA ENVIRON.,VIE.PA
FR0000124570,PLASTIC OMNIUM,POM.PA
FR0000130809,SOCIETE GENERALE,GLE.PA
FR0000131104,BNP PARIBAS ACT.A,BNP.PA
FR0010221234,EUTELSAT COMMUNIC.,ETL.PA
FR0010241638,MERCIALYS,MERY.PA
FR0010340141,ADP,ADP.PA
FR0010386334,KORIAN,KORI.PA
FR0000031122,AIR FRANCE -KLM,AF.PA
FR0000054470,UBISOFT ENTERTAIN,UBI.PA
FR0000120578,SANOFI,SAN.PA
FR0000121014,LVMH,MC.PA
FR0000121204,WENDEL,MF.PA
FR0000121220,SODEXO,SW.PA
FR0000125007,SAINT GOBAIN,SGO.PA
FR0000125338,CAPGEMINI,CAP.PA
FR0000130395,REMY COINTREAU,RCO.PA
FR0004163111,GENFIT,GNFT.PA
FR0004180537,AKKA TECHNOLOGIES,AKA.PA
FR0010040865,GECINA,GFC.PA
FR0010208488,ENGIE,ENGI.PA
FR0010242511,EDF,EDF.PA
FR0010307819,LEGRAND,LR.PA
FR0010613471,SUEZ,SEV.PA
NL0000226223,STMICROELECTRONICS,STM.PA
NL0000235190,AIRBUS,AIR.PA
FR0010411983,SCOR SE,SCR.PA
FR0010908533,EDENRED,EDEN.PA
FR0010417345,DBV TECHNOLOGIES,DBV.PA
FR0011476928,FNAC DARTY,FNAC.PA
FR0004188670,TARKETT,TKTT.PA
FR0011726835,GTT,GTT.PA
FR0011950732,ELIOR GROUP,ELIOR.PA
NL0006294274,EURONEXT,ENX.PA
FR0011981968,WORLDLINE,WLN.PA
FR0010667147,COFACE,COFA.PA
FR0012757854,SPIE,SPIE.PA
FR0012435121,ELIS,ELIS.PA
FR0004125920,AMUNDI,AMUN.PA
FR0013154002,SARTORIUS STED BIO,DIM.PA
FR0013153541,MAISONS DU MONDE,MDM.PA
FR0013176526,VALEO,FR.PA
FR0013181864,CGG,CGG.PA
GB00BDSFG982,TECHNIPFMC,FTI.PA
FR0013227113,SOITEC,SOI.PA
FR0013258662,ALD,ALD.PA
FR0013269123,RUBIS,RUI.PA
FR0013280286,BIOMERIEUX,BIM.PA
FR0011675362,NEOEN,NEOEN.PA
FR0013451333,FDJ,FDJ.PA
BE0003470755,SOLVAY,SOLB.BR
LU0569974404,APERAM,APAM.AS
LU1598757687,ARCELORMITTAL SA,MT.AS
FR0013326246,UNIBAIL-RODAMCO-WE,URW.AS
